customer_id,name,city,customer_segment,customer_segment_name,salary_delay_days,savings_wow_delta_pct,atm_withdrawal_count_7d,atm_withdrawal_amount_7d,discretionary_spend_7d,lending_upi_count_7d,lending_upi_amount_7d,failed_autodebit_count,utility_payment_delay_days,gambling_spend_7d,credit_utilization,net_cashflow_7d,round_number_withdrawal_count_7d,weekend_spend_ratio,net_cashflow_trend_slope,expected_risk_profile
SIM-0001,Priya Bose,Indore,5,other,18.19,-36.43,9,11644.51,8701.19,11,6057.9,4,15.46,4054.77,0.7817,-10543.98,9,0.5561,-450.5385,HIGH
SIM-0002,Kavita Nair,Ahmedabad,4,student,0.07,18.31,1,1421.28,859.45,0,905.45,0,1.24,94.07,0.2849,19992.99,0,0.1624,174.3342,LOW
SIM-0003,Rahul Bose,Nagpur,3,freelancer,10.97,-13.41,12,19129.66,10973.08,3,16304.56,3,12.55,712.6,0.8677,-8309.04,9,0.6711,-350.0826,HIGH
SIM-0004,Pooja Khan,Nagpur,5,other,6.87,1.38,6,5820.85,4301.78,1,2488.16,1,5.11,636.15,0.4915,-2194.63,1,0.3802,-23.3093,MEDIUM
SIM-0005,Anjali Malhotra,Delhi,5,other,27.89,-16.28,8,17678.93,8561.14,5,19133.11,4,8.23,3490.54,0.8165,-3330.35,4,0.7267,-330.3892,HIGH
SIM-0006,Anjali Singh,Bangalore,5,other,16.11,-22.68,6,24476.95,6844.59,10,17240.38,3,12.5,3821.88,0.9583,-8909.42,7,0.8409,-221.4218,HIGH
SIM-0007,Kavita Sharma,Chandigarh,2,farmer,3.98,-0.82,3,6454.25,1519.24,2,4262.42,0,1.5,501.25,0.7448,627.71,2,0.5724,-0.6325,MEDIUM
SIM-0008,Arjun Bose,Nagpur,2,farmer,0.98,11.82,0,2775.44,1185.76,1,173.35,0,0.21,125.43,0.181,13388.12,0,0.2507,229.6762,LOW
SIM-0009,Anjali Khan,Kolkata,1,self-employed,1.96,6.24,0,1342.01,1406.4,1,893.8,0,1.23,30.13,0.0692,11023.45,0,0.164,71.27,LOW
SIM-0010,Vikram Sharma,Chennai,0,salaried,4.39,-12.29,4,3724.26,2588.77,2,3719.03,0,1.53,593.88,0.5741,-2168.03,4,0.5581,-21.9859,MEDIUM
SIM-0011,Anjali Nair,Chennai,5,other,1.18,3.38,2,1054.42,1056.37,1,480.72,0,1.03,96.32,0.0906,5053.93,2,0.3544,323.0821,LOW
SIM-0012,Anjali Khan,Pune,1,self-employed,10.26,-11.96,12,9709.77,13382.43,7,11870.33,4,14.84,4191.18,0.782,-2542.42,5,0.5894,-232.5495,HIGH
SIM-0013,Mohit Patel,Jaipur,1,self-employed,1.48,-0.86,2,6741.38,3575.23,1,1800.05,0,6.69,657.01,0.5396,1466.73,3,0.526,47.0662,MEDIUM
SIM-0014,Meera Bose,Chandigarh,4,student,1.8,0.43,0,2876.46,2463.94,0,558.77,0,0.77,171.18,0.0705,2649.17,0,0.2728,392.9417,LOW
SIM-0015,Pooja Verma,Lucknow,5,other,10.16,-34.04,11,5825.98,4921.67,11,16171.31,3,16.83,1685.29,0.9735,-8099.37,9,0.7123,-497.8955,HIGH
SIM-0016,Meera Mehta,Mumbai,5,other,6.06,-12.84,4,4322.87,3626.88,2,4797.05,0,1.12,23.72,0.7026,128.83,1,0.4359,-85.7526,MEDIUM
SIM-0017,Amit Singh,Delhi,5,other,10.61,-35.63,13,15449.76,14944.24,8,9241.49,4,9.75,4276.82,0.7592,-7468.94,8,0.635,-349.6706,HIGH
SIM-0018,Anjali Khan,Chennai,5,other,0.47,18.83,0,1013.21,1499.82,0,339.45,0,1.07,98.83,0.1322,11975.02,1,0.2478,360.4691,LOW
SIM-0019,Deepak Bose,Hyderabad,3,freelancer,3.83,-13.95,3,3944.72,1795.46,2,2377.14,0,4.79,45.52,0.6588,1407.09,1,0.5522,-109.0441,MEDIUM
SIM-0020,Pooja Sharma,Nagpur,4,student,28.21,-29.6,6,10746.0,10911.29,7,3661.73,2,6.23,2549.98,0.8657,-12656.03,9,0.5775,-160.0848,HIGH
SIM-0021,Meera Malhotra,Delhi,1,self-employed,5.71,-2.34,6,1919.9,3486.13,3,2141.98,1,3.83,181.05,0.7036,874.89,3,0.4699,-140.0965,MEDIUM
SIM-0022,Mohit Rao,Jaipur,3,freelancer,0.64,17.76,0,1477.46,668.25,1,308.51,0,0.73,99.85,0.3148,19411.79,1,0.1504,378.5631,LOW
SIM-0023,Sneha Singh,Delhi,1,self-employed,6.23,3.85,5,6598.51,2884.27,1,4932.29,1,6.37,250.12,0.4528,-498.66,3,0.5536,-55.0477,MEDIUM
SIM-0024,Sneha Sharma,Jaipur,0,salaried,1.86,0.19,0,2168.2,1091.82,1,765.03,0,0.09,141.1,0.0527,1322.58,1,0.1743,181.385,LOW
SIM-0025,Vikram Verma,Chennai,5,other,2.46,-14.62,5,6388.77,3513.19,2,4887.35,1,4.65,614.44,0.43,-2088.41,2,0.3731,-106.6601,MEDIUM
SIM-0026,Kavita Gupta,Indore,3,freelancer,0.18,12.14,2,247.25,761.96,1,843.74,0,1.84,97.93,0.2177,1918.61,0,0.2995,311.8633,LOW
SIM-0027,Mohit Patel,Nagpur,3,freelancer,4.97,-14.45,6,4098.17,5230.01,2,2045.29,1,5.54,33.42,0.7397,-2333.21,1,0.4265,-106.8043,MEDIUM
SIM-0028,Arjun Nair,Delhi,0,salaried,17.14,-28.85,13,12544.87,11176.3,10,14559.89,2,10.16,551.76,0.8079,-10444.78,6,0.5519,-332.2196,HIGH
